Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,51.3919982910156,51.5309982299805,51.6800003051758,51.7859992980957,51.8429985046387,51.8839988708496,51.806999206543,51.7140007019043,51.6459999084473,51.6230010986328,51.6419982910156,51.9210014343262,52.2490005493164,52.5670013427734,52.8269996643066,53.0130004882813,52.6710014343262,52.3110008239746,51.9850006103516,51.7550010681152,51.6539993286133,51.9490013122559,52.3610000610352,52.8559989929199,53.382999420166,53.9070014953613,54.234001159668
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,64.2220001220703,65.4229965209961,65.4509963989258,64.8109970092773,64.1419982910156,63.2410011291504,62.9679985046387,63.617000579834,63.3969993591309,62.951000213623,62.701000213623,62.125,61.6629981994629,60.3839988708496,59.1189994812012,57.9029998779297,56.8629989624023,55.9220008850098,55.0559997558594,54.5340003967285,54.2709999084473,55.7150001525879,57.4440002441406,53.6520004272461,54.3580017089844,56.451000213623,56.2779998779297
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,44.1650009155273,44.4469985961914,44.5250015258789,44.8419990539551,45.0779991149902,45.0219993591309,44.9370002746582,44.5670013427734,44.2130012512207,43.8810005187988,43.5730018615723,43.310001373291,43.0769996643066,42.8730010986328,42.6940002441406,42.5390014648438,42.4059982299805,42.2900009155273,42.193000793457,42.1220016479492,42.3619995117188,42.5060005187988,42.681999206543,43.6839981079102,41.5169982910156,41.476001739502,41.4080009460449
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,78.2610015869141,78.2789993286133,78.2200012207031,78.1520004272461,78.0070037841797,77.8539962768555,77.8470001220703,77.8249969482422,77.7850036621094,77.7320022583008,77.6679992675781,77.6989974975586,77.7210006713867,77.697998046875,77.6620025634766,77.6139984130859,77.6699981689453,77.6910018920898,77.7149963378906,77.7580032348633,77.7839965820313,77.8639984130859,77.8990020751953,77.8899993896484,77.8460006713867,77.7620010375977,77.6760025024414
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,48.3594985321583,48.4193937447794,48.2702560925028,48.3715088033937,48.6049203193207,48.5129145488747,48.198346960921,47.908262751566,47.5609404087518,47.8706602655896,47.7791041658323,47.463726213956,47.1671251780506,47.2653645575383,47.3402134724154,47.5455730554797,47.7238635344503,48.1518187458326,48.4074946186277,48.4632734636584,48.7871627036126,48.7621803685205,48.8464977540124,49.0633721356295,48.715763874557,48.6500155040832,48.6013264869375
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,59.375,59.7330017089844,60.1279983520508,60.3209991455078,60.5660018920898,60.451000213623,60.7400016784668,61.201000213623,61.515998840332,61.5320014953613,61.6720008850098,61.6510009765625,61.2929992675781,61.8289985656738,62.367000579834,62.0499992370605,62.3359985351563,61.5940017700195,60.8580017089844,61.2360000610352,59.7179985046387,60.8380012512207,60.6920013427734,60.4029998779297,59.8610000610352,60,59.9640007019043
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,59.1669998168945,59.1290016174316,58.9930000305176,58.7709999084473,58.4850006103516,58.1520004272461,57.8040008544922,57.4620018005371,57.1240005493164,56.7830009460449,56.4379997253418,56.2410011291504,56.0499992370605,55.8969993591309,55.8320007324219,55.8800010681152,56.0219993591309,56.2599983215332,56.3530006408691,57.1059989929199,59.5730018615723,60.6160011291504,60.375,60.7709999084473,60.5040016174316,59.8040008544922,59.9010009765625
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
